total_packets,avg_packet_size,packet_rate,flow_duration,protocol,flow_id
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 13.89.178.26 | TCP
2,92.0,5691.050203527815,0.0003514289855957031,UDP,192.168.0.106 -> 1.1.1.1 | UDP
2,234.0,2176.033203631647,0.0009191036224365234,UDP,1.1.1.1 -> 192.168.0.106 | UDP
13,376.6923076923077,13.884035127968973,0.9363272190093994,TCP,192.168.0.106 -> 20.189.173.28 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 52.168.112.67 | TCP
1,66.0,1000.0,0.001,TCP,192.168.0.106 -> 13.67.9.5 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 140.82.112.21 | TCP
1,66.0,1000.0,0.001,TCP,192.168.0.106 -> 65.9.112.40 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 140.82.112.21 | TCP
2,98.0,3518.711409395973,0.000568389892578125,UDP,192.168.0.106 -> 1.1.1.1 | UDP
2,246.0,2671.5312101910827,0.0007486343383789062,UDP,1.1.1.1 -> 192.168.0.106 | UDP
17,226.2941176470588,2.4312377461088372,6.992323160171509,TCP,192.168.0.106 -> 140.82.112.22 | TCP
10,711.3,12.190330925767311,0.8203222751617432,TCP,140.82.112.22 -> 192.168.0.106 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 13.89.178.26 | TCP
2,90.0,1.3023263034855508,1.5357134342193604,TCP,192.168.0.106 -> 140.82.112.22 | TCP
7,435.57142857142856,12.859916437187948,0.5443270206451416,TCP,192.168.0.106 -> 20.42.65.89 | TCP
2,92.0,8280.955577492596,0.0002415180206298828,UDP,192.168.0.106 -> 1.1.1.1 | UDP
2,236.0,885.9022072024501,0.0022575855255126953,UDP,1.1.1.1 -> 192.168.0.106 | UDP
5,120.8,6.779560637432941,0.7375109195709229,TCP,20.42.65.89 -> 192.168.0.106 | TCP
1,46.0,1000.0,0.001,OTHER,192.168.0.5 -> 224.0.0.1 | OTHER
10,346.4,19.53213814377108,0.5119767189025879,UDP,192.168.0.5 -> 239.255.255.250 | UDP
