flow_id,total_packets,avg_packet_size,packet_rate,flow_duration,protocol
192.168.0.106 -> 20.42.65.93 | TCP,1,66.0,1000.0,0.001,TCP
20.42.65.93 -> 192.168.0.106 | TCP,1,66.0,1000.0,0.001,TCP
192.168.0.101 -> 192.168.0.255 | UDP,1,82.0,1000.0,0.001,UDP
192.168.0.103 -> 224.0.0.251 | UDP,1,135.0,1000.0,0.001,UDP
