timestamp,ip_src,ip_dest,src_port,dest_port,protocol,payload_len,app_protocol,is_ascii,suspicious_keywords,has_suspicious_keywords,error
2025-07-05T16:00:34.588742,1.1.1.1,192.168.0.106,53,55168,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.596170,192.168.0.106,1.1.1.1,49749,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.603829,1.1.1.1,192.168.0.106,53,49749,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.611052,192.168.0.106,1.1.1.1,58551,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.617976,1.1.1.1,192.168.0.106,53,58551,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.626897,192.168.0.106,1.1.1.1,33551,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.635234,1.1.1.1,192.168.0.106,53,33551,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.644720,192.168.0.106,1.1.1.1,53704,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.653093,1.1.1.1,192.168.0.106,53,53704,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.661685,192.168.0.106,1.1.1.1,37459,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.673142,1.1.1.1,192.168.0.106,53,37459,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.832264,192.168.0.106,1.1.1.1,58602,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.839757,1.1.1.1,192.168.0.106,53,58602,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.849006,192.168.0.106,1.1.1.1,55301,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.856852,1.1.1.1,192.168.0.106,53,55301,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.863935,192.168.0.106,1.1.1.1,34561,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.877657,1.1.1.1,192.168.0.106,53,34561,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.885747,192.168.0.106,1.1.1.1,53552,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.896946,1.1.1.1,192.168.0.106,53,53552,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.906779,192.168.0.106,1.1.1.1,58177,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.920012,1.1.1.1,192.168.0.106,53,58177,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.930615,192.168.0.106,1.1.1.1,59681,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.939067,1.1.1.1,192.168.0.106,53,59681,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.948022,192.168.0.106,1.1.1.1,55067,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.961100,1.1.1.1,192.168.0.106,53,55067,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.971518,192.168.0.106,1.1.1.1,57323,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.982236,1.1.1.1,192.168.0.106,53,57323,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:34.990617,192.168.0.106,1.1.1.1,52832,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.000447,1.1.1.1,192.168.0.106,53,52832,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.009244,192.168.0.106,1.1.1.1,50545,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.018788,1.1.1.1,192.168.0.106,53,50545,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.027306,192.168.0.106,1.1.1.1,50839,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.171461,1.1.1.1,192.168.0.106,53,50839,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.181360,192.168.0.106,1.1.1.1,44025,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.203945,1.1.1.1,192.168.0.106,53,44025,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.213540,192.168.0.106,1.1.1.1,36339,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.223119,1.1.1.1,192.168.0.106,53,36339,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.234069,192.168.0.106,1.1.1.1,42523,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.256507,1.1.1.1,192.168.0.106,53,42523,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.265879,192.168.0.106,1.1.1.1,38557,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.277657,1.1.1.1,192.168.0.106,53,38557,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.286409,192.168.0.106,1.1.1.1,43827,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.298633,1.1.1.1,192.168.0.106,53,43827,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.306822,192.168.0.106,1.1.1.1,58705,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.315148,1.1.1.1,192.168.0.106,53,58705,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.321852,192.168.0.106,1.1.1.1,44378,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.329862,1.1.1.1,192.168.0.106,53,44378,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.339100,192.168.0.106,1.1.1.1,51511,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.347575,1.1.1.1,192.168.0.106,53,51511,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.355880,192.168.0.106,1.1.1.1,40125,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.366451,1.1.1.1,192.168.0.106,53,40125,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.375226,192.168.0.106,1.1.1.1,60057,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.528445,1.1.1.1,192.168.0.106,53,60057,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.535230,192.168.0.106,1.1.1.1,60776,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.542728,1.1.1.1,192.168.0.106,53,60776,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.555917,192.168.0.106,1.1.1.1,57288,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.568773,1.1.1.1,192.168.0.106,53,57288,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.577586,192.168.0.106,1.1.1.1,52446,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.589884,1.1.1.1,192.168.0.106,53,52446,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.599854,192.168.0.106,1.1.1.1,46629,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.609019,1.1.1.1,192.168.0.106,53,46629,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.616849,192.168.0.106,1.1.1.1,57082,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.625308,1.1.1.1,192.168.0.106,53,57082,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.634945,192.168.0.106,1.1.1.1,53445,53,UDP,0,DNS,0,none,0,None
