timestamp,ip_src,ip_dest,src_port,dest_port,protocol,payload_len,app_protocol,is_ascii,suspicious_keywords,has_suspicious_keywords,error
2025-06-30T08:10:57.346004,192.168.0.106,140.82.114.22,45654,443,TCP,56,HTTPS,0,none,0,
2025-06-30T08:11:01.377985,192.168.0.5,239.255.255.250,1900,1900,UDP,267,UNKNOWN,0,root,1,
2025-06-30T08:11:01.380243,192.168.0.5,239.255.255.250,1900,1900,UDP,279,UNKNOWN,0,none,0,
2025-06-30T08:11:01.385390,192.168.0.5,239.255.255.250,1900,1900,UDP,339,UNKNOWN,0,none,0,
2025-06-30T08:11:01.389520,192.168.0.5,239.255.255.250,1900,1900,UDP,255,UNKNOWN,0,none,0,
2025-06-30T08:11:01.393235,192.168.0.5,239.255.255.250,1900,1900,UDP,303,UNKNOWN,0,none,0,
2025-06-30T08:11:01.395770,192.168.0.5,239.255.255.250,1900,1900,UDP,275,UNKNOWN,0,none,0,
2025-06-30T08:11:01.400195,192.168.0.5,239.255.255.250,1900,1900,UDP,333,UNKNOWN,0,none,0,
2025-06-30T08:11:01.480951,192.168.0.5,239.255.255.250,1900,1900,UDP,331,UNKNOWN,0,none,0,
2025-06-30T08:11:01.482967,192.168.0.5,239.255.255.250,1900,1900,UDP,335,UNKNOWN,0,none,0,
2025-06-30T08:17:29.102832,140.82.114.22,192.168.0.106,443,49638,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.103426,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.103955,192.168.0.106,140.82.114.22,49638,443,TCP,517,HTTPS,0,none,0,
2025-06-30T08:17:29.350843,140.82.114.22,192.168.0.106,443,49638,TCP,1424,HTTPS,0,none,0,
2025-06-30T08:17:29.351479,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.352019,140.82.114.22,192.168.0.106,443,49638,TCP,1424,HTTPS,0,none,0,
2025-06-30T08:17:29.352422,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.353035,140.82.114.22,192.168.0.106,443,49638,TCP,1248,HTTPS,0,none,0,
2025-06-30T08:17:29.353449,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.354531,140.82.114.22,192.168.0.106,443,49638,TCP,1424,HTTPS,0,none,0,
2025-06-30T08:17:29.355236,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.355968,140.82.114.22,192.168.0.106,443,49638,TCP,158,HTTPS,0,none,0,
2025-06-30T08:17:29.356524,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.357116,192.168.0.106,140.82.114.22,49638,443,TCP,1424,HTTPS,0,none,0,
2025-06-30T08:17:29.357606,192.168.0.106,140.82.114.22,49638,443,TCP,1424,HTTPS,0,none,0,
2025-06-30T08:17:29.358093,192.168.0.106,140.82.114.22,49638,443,TCP,469,HTTPS,0,none,0,
2025-06-30T08:17:29.599121,140.82.114.22,192.168.0.106,443,49638,TCP,79,HTTPS,0,none,0,
2025-06-30T08:17:29.599692,140.82.114.22,192.168.0.106,443,49638,TCP,79,HTTPS,0,none,0,
2025-06-30T08:17:29.600048,140.82.114.22,192.168.0.106,443,49638,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.600388,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.918915,140.82.114.22,192.168.0.106,443,49638,TCP,587,HTTPS,0,none,0,
2025-06-30T08:17:29.919544,192.168.0.106,140.82.114.22,49638,443,TCP,24,HTTPS,0,none,0,
2025-06-30T08:17:29.919905,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.921009,140.82.114.22,192.168.0.106,443,49638,TCP,24,HTTPS,0,none,0,
2025-06-30T08:17:29.921446,140.82.114.22,192.168.0.106,443,49638,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.921825,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:29.922196,192.168.0.106,140.82.114.22,49638,443,TCP,0,HTTPS,0,none,0,
2025-06-30T08:17:32.543560,192.168.0.106,27.116.54.76,44806,443,UDP,1245,UNKNOWN,0,none,0,
2025-06-30T08:17:32.544286,192.168.0.106,27.116.54.76,44806,443,UDP,1250,UNKNOWN,0,none,0,
2025-06-30T08:17:32.544793,192.168.0.106,27.116.54.76,44806,443,UDP,327,UNKNOWN,0,none,0,
2025-06-30T08:17:32.548654,27.116.54.76,192.168.0.106,443,44806,UDP,147,UNKNOWN,0,none,0,
2025-06-30T08:17:32.549497,27.116.54.76,192.168.0.106,443,44806,UDP,1245,UNKNOWN,0,sh,1,
2025-06-30T08:17:32.550525,27.116.54.76,192.168.0.106,443,44806,UDP,1250,UNKNOWN,0,none,0,
